DateTime,FedBalanceSheetChange,Start,End,Open,Close,Change,High,Low,HighChangePercent,LowChangePercent,Influence1,Influence2,Influence3
07/28/2004 00:00:00,-2848,07/30/2004 00:00:00,08/05/2004 00:00:00,1100.37,1080.7,-19.67,1108.6,1079.98,0.0074793024164599180275725438,-0.0185301307741941347001463144,1,0,0
08/04/2004 00:00:00,-1831,08/06/2004 00:00:00,08/12/2004 00:00:00,1078.55,1063.23,-15.32,1079.04,1062.23,0.0004543136618608316721524269,-0.0151314264521811691623012378,1,0,0
08/11/2004 00:00:00,-2820,08/13/2004 00:00:00,08/19/2004 00:00:00,1063.23,1091.23,28.00,1095.17,1060.72,0.0300405368546786678329242027,-0.0023607309801265953744721274,-1,-1,-1
08/18/2004 00:00:00,-1670,08/20/2004 00:00:00,08/26/2004 00:00:00,1090.89,1105.09,14.20,1106.78,1089.57,0.0145660882398775311901291606,-0.0012100211753705689849572368,-1,0,0
08/25/2004 00:00:00,7842,08/27/2004 00:00:00,09/02/2004 00:00:00,1105.33,1118.31,12.98,1119.11,1094.72,0.0124668650991106728307383315,-0.0095989433020003076004451159,1,0,0
09/01/2004 00:00:00,9836,09/03/2004 00:00:00,09/09/2004 00:00:00,1116.09,1118.38,2.29,1124.08,1113.57,0.0071589208755566307376645253,-0.0022578824288363841625675349,0,0,0
09/08/2004 00:00:00,3329,09/10/2004 00:00:00,09/16/2004 00:00:00,1118.49,1123.5,5.01,1129.78,1114.47,0.0100939659719800802868152599,-0.0035941313735482659657216426,1,0,0
09/15/2004 00:00:00,526,09/17/2004 00:00:00,09/23/2004 00:00:00,1123.9,1108.36,-15.54,1131.54,1108.05,0.0067977578076341311504582258,-0.0141026781742147877925082303,-1,0,0
09/22/2004 00:00:00,-7004,09/24/2004 00:00:00,09/30/2004 00:00:00,1108.36,1114.58,6.22,1116.31,1101.29,0.0071727597531487964199357609,-0.0063787938936807535457793497,0,0,0
09/29/2004 00:00:00,4206,10/01/2004 00:00:00,10/07/2004 00:00:00,1115.96,1130.65,14.69,1142.05,1115.96,0.0233789741567798128965195885,0,1,1,0
10/06/2004 00:00:00,-4553,10/08/2004 00:00:00,10/14/2004 00:00:00,1129.83,1103.29,-26.54,1132.92,1102.06,0.0027349247231884442792278484,-0.0245789189524087694608923466,1,1,0
10/13/2004 00:00:00,13706,10/15/2004 00:00:00,10/21/2004 00:00:00,1105.35,1106.49,1.14,1118.03,1094.25,0.0114714796218392364409463066,-0.0100420681232188899443615145,1,0,0
10/20/2004 00:00:00,-10529,10/22/2004 00:00:00,10/28/2004 00:00:00,1106.49,1127.44,20.95,1130.67,1090.19,0.0218528861535124583141284603,-0.0147312673408706811629567371,1,-1,0
10/27/2004 00:00:00,6382,10/29/2004 00:00:00,11/04/2004 00:00:00,1127.41,1161.67,34.26,1161.67,1124.62,0.0303882349810627899344515305,-0.0024746986455681606514045467,1,1,1
11/03/2004 00:00:00,-784,11/05/2004 00:00:00,11/11/2004 00:00:00,1163.04,1173.48,10.44,1174.82,1160.52,0.0101286284220663089833539689,-0.0021667354519191085431283533,-1,0,0
11/10/2004 00:00:00,9921,11/12/2004 00:00:00,11/18/2004 00:00:00,1174.18,1183.55,9.37,1188.46,1171.39,0.0121616787886014069393108382,-0.0023761263179410311877224957,1,0,0
11/17/2004 00:00:00,-6383,11/19/2004 00:00:00,11/24/2004 00:00:00,1183.55,1181.76,-1.79,1184,1167.89,0.0003802120738456338980186726,-0.0132313801698280596510498078,1,0,0
11/24/2004 00:00:00,15866,11/26/2004 00:00:00,12/02/2004 00:00:00,1181.43,1190.33,8.90,1194.81,1172.37,0.0113252583733272390238947716,-0.0076686727101901932403951144,1,0,0
12/01/2004 00:00:00,-2893,12/03/2004 00:00:00,12/09/2004 00:00:00,1191.35,1189.24,-2.11,1197.11,1173.76,0.0048348512192051034540647165,-0.0147647626642044739161455492,1,0,0
12/08/2004 00:00:00,1432,12/10/2004 00:00:00,12/16/2004 00:00:00,1187.45,1203.2,15.75,1207.97,1185.24,0.017280727609583561413112131,-0.0018611309949892627057981389,1,0,0
12/15/2004 00:00:00,-1467,12/17/2004 00:00:00,12/23/2004 00:00:00,1202.26,1210.13,7.87,1213.66,1193.36,0.0094821419659641009432235956,-0.0074027248681649559995342106,0,0,0
12/22/2004 00:00:00,4305,12/27/2004 00:00:00,12/30/2004 00:00:00,1210.13,1213.55,3.42,1216.47,1204.92,0.0052391065422723178501483312,-0.0043053225686496492112417674,0,0,0
12/29/2004 00:00:00,-389,12/31/2004 00:00:00,01/06/2005 00:00:00,1213.55,1187.89,-25.66,1217.9,1183.23,0.0035845247414610028428989329,-0.0249845494623212887808495736,1,1,0
01/05/2005 00:00:00,4758,01/07/2005 00:00:00,01/13/2005 00:00:00,1189.2,1177.45,-11.75,1194.78,1175.61,0.0046922300706357214934409687,-0.0114278506559031281533804238,-1,0,0
01/12/2005 00:00:00,-17247,01/14/2005 00:00:00,01/20/2005 00:00:00,1177.45,1175.41,-2.04,1195.98,1173.39,0.0157373986156524693192916897,-0.0034481294322476538281880335,-1,0,0
01/19/2005 00:00:00,8505,01/21/2005 00:00:00,01/27/2005 00:00:00,1175.82,1174.55,-1.27,1179.45,1163.75,0.0030872072255957544522120733,-0.0102651766426834039223690701,-1,0,0
01/26/2005 00:00:00,302,01/28/2005 00:00:00,02/03/2005 00:00:00,1175.05,1189.89,14.84,1195.25,1166.3,0.0171907578400919109825113825,-0.0074464916386536743117314157,1,0,0
02/02/2005 00:00:00,-2516,02/04/2005 00:00:00,02/10/2005 00:00:00,1189.83,1197.01,7.18,1205.11,1189.67,0.0128421707302723918542985132,-0.0001344729919400250455947488,-1,0,0
02/09/2005 00:00:00,-7447,02/11/2005 00:00:00,02/17/2005 00:00:00,1196.35,1201.59,5.24,1212.44,1193.28,0.0134492414427216115685209178,-0.0025661386717933715049943578,-1,0,0
02/16/2005 00:00:00,-1693,02/18/2005 00:00:00,02/24/2005 00:00:00,1201.08,1211.37,10.29,1212.05,1185.48,0.0091334465647583841209578046,-0.0129883105205315216305325207,1,0,0
02/23/2005 00:00:00,8970,02/25/2005 00:00:00,03/03/2005 00:00:00,1200.17,1222.12,21.95,1224.76,1199.61,0.020488764091753668230334036,-0.0004666005649199696709632802,1,1,0
03/02/2005 00:00:00,-3324,03/04/2005 00:00:00,03/10/2005 00:00:00,1210.47,1200.08,-10.39,1225.69,1198.15,0.0125736284253223954331788479,-0.0101778647963187852652275562,1,0,0
03/09/2005 00:00:00,-2002,03/11/2005 00:00:00,03/17/2005 00:00:00,1209.39,1190.21,-19.18,1213.04,1185.61,0.0030180504221136275312347547,-0.0196628052158526199158253334,1,0,0
03/16/2005 00:00:00,7961,03/18/2005 00:00:00,03/24/2005 00:00:00,1190.32,1171.42,-18.90,1191.98,1168.7,0.0013945829692855702668190067,-0.0181631830096108609449559782,-1,0,0
03/23/2005 00:00:00,-10117,03/28/2005 00:00:00,03/31/2005 00:00:00,1172.42,1180.59,8.17,1184.53,1163.69,0.0103290629637843093771856502,-0.0074461370498626771975913069,-1,0,0
03/30/2005 00:00:00,10457,04/01/2005 00:00:00,04/07/2005 00:00:00,1181.44,1191.14,9.70,1191.88,1167.72,0.0088366738894907908992416035,-0.0116129469122426868905742145,-1,0,0
04/06/2005 00:00:00,-10224,04/08/2005 00:00:00,04/14/2005 00:00:00,1191.22,1162.05,-29.17,1191.75,1161.71,0.0004449220127264485149678481,-0.0247729218784103692013230134,1,1,0
04/13/2005 00:00:00,8380,04/15/2005 00:00:00,04/21/2005 00:00:00,1160.12,1159.95,-0.17,1161.22,1136.22,0.000948177774712960728200531,-0.0206013171051270558218115367,-1,-1,0
04/20/2005 00:00:00,-3914,04/22/2005 00:00:00,04/28/2005 00:00:00,1159.95,1143.22,-16.73,1164.8,1142.95,0.0041812147075304970041812147,-0.0146558041294883400146558041,1,0,0
04/27/2005 00:00:00,8004,04/29/2005 00:00:00,05/05/2005 00:00:00,1148.73,1172.1,23.37,1178.47,1139.2,0.0258894605346774263752143672,-0.0082961183219729614443777041,1,1,0
05/04/2005 00:00:00,-7385,05/06/2005 00:00:00,05/12/2005 00:00:00,1173.64,1159.36,-14.28,1178.87,1157.76,0.0044562216693364234347840905,-0.0135305545141610715381207184,1,0,0
05/11/2005 00:00:00,5966,05/13/2005 00:00:00,05/19/2005 00:00:00,1160.07,1191.08,31.01,1191.09,1146.18,0.0267397657037937365848612584,-0.0119734153973467118363547027,1,1,0
05/18/2005 00:00:00,-6832,05/20/2005 00:00:00,05/26/2005 00:00:00,1191.14,1197.62,6.48,1198.95,1185.19,0.0065567439595681448024581493,-0.0049952146683009553872760549,0,0,0
05/25/2005 00:00:00,8614,05/27/2005 00:00:00,06/02/2005 00:00:00,1197.62,1204.29,6.67,1205.64,1191.03,0.0066966149529900970257677727,-0.0055025801172325111471084317,0,0,0
06/01/2005 00:00:00,7175,06/03/2005 00:00:00,06/09/2005 00:00:00,1204.29,1200.93,-3.36,1208.85,1191.09,0.0037864633933687068729292778,-0.0109608150860673093690058042,-1,0,0
06/08/2005 00:00:00,-3163,06/10/2005 00:00:00,06/16/2005 00:00:00,1200.87,1210.96,10.09,1212.1,1192.64,0.0093515534570769525427398469,-0.0068533646439664576515359698,0,0,0
06/15/2005 00:00:00,-2974,06/17/2005 00:00:00,06/23/2005 00:00:00,1213.19,1200.73,-12.46,1219.59,1200.72,0.0052753484614940775970787758,-0.0102786867679423668180581772,1,0,0
